date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:01	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Wed,%2023%20Oct%202019%2017:22:01%20GMT	http://sites.google.com/view/cobrastore	/storage/emulated/0/HTTrack/Websites/cobrastoree/sites.google.com/view/cobrastore.0.delayed	(from )
13:22:03	54607/54607	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2017:22:03%20GMT	https://sites.google.com/view/cobrastore	/storage/emulated/0/HTTrack/Websites/cobrastoree/sites.google.com/view/cobrastore.html	(from )
13:22:03	67/67	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Oct%202019%2017:22:03%20GMT	https://sites.google.com/robots.txt		(from )
13:22:04	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	/storage/emulated/0/HTTrack/Websites/cobrastoree/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/cobrastore)
13:22:04	43/43	---M--	200	added ('OK')	image/gif	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	/storage/emulated/0/HTTrack/Websites/cobrastoree/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/cobrastore)
13:22:06	12887/12887	---MC-	200	added ('OK')	application/javascript	date:Wed,%2023%20Oct%202019%2017:22:06%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	/storage/emulated/0/HTTrack/Websites/cobrastoree/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/cobrastore)
13:22:07	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	/storage/emulated/0/HTTrack/Websites/cobrastoree/www.google-analytics.com/analytics.js	(from https://sites.google.com/view/cobrastore)
13:22:08	54673/54673	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2017:22:09%20GMT	https://sites.google.com/view/cobrastore/cobrastore	/storage/emulated/0/HTTrack/Websites/cobrastoree/sites.google.com/view/cobrastore/cobrastore.html	(from https://sites.google.com/view/cobrastore)
13:22:09	57564/57564	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2017:22:09%20GMT	https://sites.google.com/view/cobrastore/about	/storage/emulated/0/HTTrack/Websites/cobrastoree/sites.google.com/view/cobrastore/about.html	(from https://sites.google.com/view/cobrastore)
13:22:11	55169/55169	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202019%2017:22:11%20GMT	https://sites.google.com/view/cobrastore/apps	/storage/emulated/0/HTTrack/Websites/cobrastoree/sites.google.com/view/cobrastore/apps.html	(from https://sites.google.com/view/cobrastore)
